DOF,Framework,Training Time (s),Inference Time (ms),Mean Error (mm),Max Error (mm),Accuracy < 0.5mm (%)
3,tensorflow,3.2811436653137207,64.986252784729,309.9277519310942,480.7913039339447,0.0
4,tensorflow,2.9623634815216064,65.39828777313232,368.2092087556122,629.8274105095252,0.0
