DOF,Framework,Training Time (s),Inference Time (ms),Mean Error (mm),Max Error (mm),Accuracy < 0.5mm (%)
3,tensorflow,12.7677321434021,58.51621627807617,186.39134051087134,459.17656034630676,0.0
3,sklearn,1.2262656688690186,0.39887428283691406,198.99628605778085,474.510212390429,0.0
3,pytorch,7.4973907470703125,0.49860477447509766,205.56369762820782,457.3128669884489,0.0
4,tensorflow,22.679625034332275,62.29808330535889,116.93511456633401,406.99452779735896,0.0
4,sklearn,24.98547339439392,0.3989696502685547,52.28240536448785,81.53669747817922,0.0
4,pytorch,18.66978669166565,0.5983829498291016,89.19205920312402,182.5669720673798,0.0
