Framework,Training Time (s),Inference Time (ms),Mean Error (mm),Max Error (mm),Accuracy < 0.5mm (%)
tensorflow,4.107742786407471,70.71266174316406,238.43943529579502,377.6128047060942,0.0
pytorch,1.2409954071044922,0.3989219665527344,264.90412614630463,416.3670517998245,0.0
sklearn,0.7094216346740723,0.4047870635986328,203.83472227957944,412.1381355367697,0.0
